id,name,fullDesc,raw_size_in_desc,dimensionsDesc,final_dimensions_desc
13314acfb91a4e87bf5cd98ae5fc25f2,新石器时代龙山文化黑陶盒,新石器时代龙山文化，盛器。泥质黑陶，子母口，腹部起棱一周，直腹，平底内凹。口径11cm、底径10.5cm、高3.2cm，重113g。当时向日照市两城镇村民刘希凡征集所得，日照市博物馆收藏。国家三级文物。,口径11cm、底径10.5cm、高3.2cm，重113g,高*口径*底径：3.2*11*10.5,高*口径*底径：3.2*11*10.5
142DFD71E52349D2903F9584304DDFA0,新石器时代龙山文化红陶鬲,通高：38厘米  红陶，折沿平口方唇，短颈，颈部下饰两三角形，穿鼻，分裆袋足肥硕。体饰横向纵向斜向细绳纹。,通高：38厘米,口径:29.5-30.5,口径:29.5-30.5，通高：38厘米
176feb66f389486f8e7c268fc7c14e60,新石器时代大汶口文化白陶杯," 为新石器时代大汶口文化陶杯，1977年陵阳河遗址出土。器物口径10厘米，腹深9.4厘米，足径8.8厘米，高12厘米。夹砂白陶，喇叭口，束腰，深腹，喇叭形圈足。腹饰滚压纹。
与此件器物一桶出土的还有多件白陶杯，造型都非常别致，为同时期不多见的精品。此组器物与陶鬹、黑陶杯等陶器的出土反映了莒地制陶业十分发达，陶器品种多样，造型丰富多彩。从手制到轮制，快轮制陶，是当时技术上的一次飞跃，在烧制技术上，已能控制炉温，烧制出红、白、灰、黑不同颜色的陶器。特别蛋壳陶的出土证明莒地制陶技术高超，在整个中华史前文化中处于遥遥领先的地位。制陶的专业化，促进了人类社会的第二次大分工。",器物口径10厘米，腹深9.4厘米，足径8.8厘米，高12厘米,口径10、腹深9.4、足径8.8、高12,口径10、腹深9.4、足径8.8、高12
1934ba0f587f4df19056cdd724bf3fae,蒜头瓶,尺寸：12*12(cm)，重量：30kg，上部呈蒜头型，溜肩，鼓腹，平底。,尺寸：12*12(cm),12*12(cm),12*12(cm)
196156D1D04942F5AFD8305B9647A24E,新石器时代龙山文化红陶器盖,上径：6厘米，下径：17厘米，高：10.7厘米。夹砂红陶，盖上饰2盲鼻，器物盖。,上径：6厘米，下径：17厘米，高：10.7厘米,上径：6，下径：17，高：10.7,上径：6，下径：17，高：10.7
1B25EA0456AE4A9E8BAEBC75D501BE4E,新石器时代龙山文化镂孔高柄杯,  通高30厘米，口径9厘米，重80克，侈口，尖唇，深腹，环底。中部为细长的高柄，中间粗两端略收，为鼓形，上饰有镂空竖排圆孔、菱形孔，底座为盘状，杯腹饰有缠绕阴刻弦纹，外表精美而细致，漆黑光亮。,通高30厘米，口径9厘米，重80克,,通高30厘米，口径9厘米
1F313293F58E4F6DBE35C457C19BCDFF,新石器时代大汶口文化白陶杯,通高9厘米，腹围25.5厘米，口径7.3厘米，重量190克，侈口，直颈微弧，鼓腹、平底，在折形腹下居一环形柄。造型优美大方、小巧玲珑。,通高9厘米，腹围25.5厘米，口径7.3厘米，重量190克,口径7.50；腹围25.50,口径7.50（另有人测得口径7.3厘米）；腹围25.50，通高9厘米
1bcc5dabea99421caf71df2c13af4453,新石器时代龙山文化黑陶罍,新石器时代龙山文化，酒器或水器。泥质黑陶，直口，尖唇，高领，圆肩鼓腹，下腹内收，平底内凹。领上饰一周凸弦纹，肩腹饰对称纵向分布的两对贯耳并饰多道凹弦纹。口径6.8cm、底径7cm、高15.1cm，重270g。由山东大学东方考古研究中心发掘于日照两城镇遗址，2004年拨交，日照市博物馆收藏。国家二级文物。,口径6.8cm、底径7cm、高15.1cm，重270g,高15.1，口径6.8，底径7,高15.1，口径6.8，底径7
1c622d4bc9a9422286500a19f06d0f45,灰陶壶,尺寸：12*12(cm)，重量：2kg，口微收，束颈，圆肩，鼓腹，小平底。,尺寸：12*12(cm),12*12(cm),12*12(cm)
1e38b43503e54ac1bb86c12281e45ae8,新石器时代龙山文化灰陶鬲,"新石器时代龙山文化。炊器。夹砂灰陶，侈口，斜折沿，方唇，分裆，三袋足，唇的下缘有一周凹槽，腹上部有凸棱一周、盲鼻一对及贯耳一对，耳上有四道凹槽。山东大学东方考古研究中心于日照两城镇遗址发掘，修复后于2004拨交给日照市博物馆收藏。国家二级文物。此件陶鬲体型较大，为同时期出土陶鬲之罕见，对研究史前时期鬲的发展具有重要学术价值。
鬲，新石器时代晚期出现，商周时期继续流行。其形状多为侈口、圆腹、三个袋状足，有的颈部有双耳。使用时，在三个袋状足下直接燃火煮食。鬲有实用器与明器之分。实用多为夹砂陶，胎质坚硬器壁较厚；明器则多为泥质陶，火候较低，胎质疏松，表面打磨得很光滑，有的还用红、白二种颜色绘出各种纹饰。器形与鼎相近，区别在鼎有实足，鬲是袋形足。从其相似的功能与形状来看，鼎应该是由鬲发展而来。一般来说，腿长裆深的陶鬲年代都早，可以直接支在地上，便于填柴引火。后来，随着灶台的广泛使用，陶鬲的腿的功能逐渐淡化，遂成为锅釜，也就是所谓“破釜沉舟”的“釜”。",此件陶鬲体型较大,高45.5，口径36，裆高17,高45.5，口径36，裆高17
20849DB0CF474F8C85985B0354386DB6,新石器时代龙山文化黑陶双耳罍,"未定级，口径：11厘米，底径：8.7厘米，腹径：22.3厘米，高：18.8厘米。黑陶质地，侈口，素面，鼓腹，大贯耳，为古代盛器。
",口径：11厘米，底径：8.7厘米，腹径：22.3厘米，高：18.8厘米,口径：11，底径：8.7，腹径：22.3，高：18.8,口径：11，底径：8.7，腹径：22.3，高：18.8
